State/Terr,AI Scope,Relevant Law,Bill ID,Effective Date,Key Requirements,Enforcements Penalties,Status,Source URL,Law Link URL
Colorado,AI Intimate Images,Preventing Unauthorized Disclosure of Intimate Digital Depictions Act,SB 288,6-Aug-25,Allows an individual depicted in an intimate digital depiction to sue the individual who disclosed or threatened to disclose the picture if they acted with knowledge or disregard for whether the depicted individual: did not consent to the disclosure; would experience serve emotional distress; and was identifiable. Expands the scope of Colorado's intimate image harassment statute to include intimate digital depictions.,"For intimate digital depictions - the greater of actual damages or liquidated damages of $150,000, plus an amount equal to the monetary gain, exemplary damages, and the cost of the action; as well as equitable relief. For intimate image harassment - existing criminal penalties apply.",Active,https://leg.colorado.gov/sites/default/files/2025a_288_signed.pdf,https://leg.colorado.gov/sites/default/files/2025a_288_signed.pdf
Colorado,Comprehensive AI,Colorado AI Act,Co. Rev. Stat. § 6-1-1701 et seq.,30-Jun-26,"Requires developers and deployers of high-risk AI systems to use reasonable care to protect consumers from algorithmic discrimination. Requires developers to address internal documentation requirements relating to model characteristics and risk management measures, as well as transparency obligations owed primarily to deployers. Requires deployers to implement an appropriate risk management program, conduct comprehensive impact assessments, and address transparency obligations owed primarily to consumers. Requires deployers to disclose certain information to the consumer and provide them a right to correct their information and/or appeal if the use of a high-risk AI system results in an adverse decision for a consumer. Requires all AI systems intended to interact with consumers to be accompanied by a disclosure that the consumer is interacting with an AI system.",Up to $20,Active,https://infobytes.orrick.com/wp-content/uploads/Colorado-AI-Act-Amended.pdf,https://infobytes.orrick.com/wp-content/uploads/Colorado-AI-Act-Amended.pdf
Connecticut,Algorithmic Pricing,Transportation Network Company Dynamic Pricing,Conn. Gen. Stat. § 13b-118,1-Jan-18,"Requires any transportation network company that elects to implement dynamic pricing to: Provide notice to a potential rider that dynamic pricing is in effect before a request for a prearranged ride may be submitted; Provide a fare estimator that enables the rider to estimate the cost of the ride under dynamic pricing; Provide a feature that requires the rider to confirm that he or she understands that dynamic pricing will be applied to the cost of the ride; Refrain from increasing the price of a ride to more than 2.5 times the usual price charged in an area experiencing any disaster or emergency. Defines ""dynamic pricing"" to mean ""a price that changes according to the demand for prearranged rides and availability of transportation network company drivers.""","Suspension, revocation or refusal to renew transportation network company registrations (plus fine of not more than $50k for operating without valid registration).",Active,https://www.cga.ct.gov/current/pub/chap_244c.htm,https://www.cga.ct.gov/current/pub/chap_244c.htm
Connecticut,AI in Government,"Connecticut Act Concerning AI, Automated Decision-Making and Personal Data Privacy",SB 1103,1-Jul-23,"Requires the Department of Administrative Services to prepare an inventory of the AI systems in use by any Connecticut state agency and perform ongoing assessments of such AI systems to ensure they do not result in unlawful discrimination or disparate impact. Directs Connecticut government agencies to establish policies and procedures concerning the development, procurement and implementation of such systems.",N/A,Active,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB01103&which_year=2023,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB01103&which_year=2023
Connecticut,Automated Decision-Making,Connecticut Data Privacy Act,Conn. Gen. Stat. § 42-515 et seq.,1-Jul-23,"Provides consumers the right to opt-out of any form of automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health, demographic characteristics, personal preferences, interests, reliability, behavior, location, or movements in furtherance of solely-automated decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, health-care services, or access to essential goods and services). Requires a data protection assessment of each processing activity involving such automated processing of personal data in certain circumstances. Other obligations and restrictions may apply depending on the type of data processed.",Up to $5,Active,https://www.cga.ct.gov/current/pub/chap_743jj.htm,https://www.cga.ct.gov/current/pub/chap_743jj.htm
Connecticut,AI Transparency,Connecticut Data Privacy Act,SB1295,1-Jul-26,Requires controllers to include a statement in their privacy notice disclosing whether the controller collects or uses or sells personal data for the purpose of training large language models.,Up to $5,Active,https://www.cga.ct.gov/2025/ACT/PA/PDF/2025PA-00113-R00SB-01295-PA.PDF,https://www.cga.ct.gov/2025/ACT/PA/PDF/2025PA-00113-R00SB-01295-PA.PDF
Delaware,AI in Government,Delaware Artificial Intelligence Commission Act,HB 233,17-Jul-24,Requires the Delaware Artificial Intelligence Commission to conduct an inventory of all generative AI usage in Delaware government.,N/A,Active,https://legis.delaware.gov/BillDetail/140866,https://legis.delaware.gov/BillDetail/140866
Delaware,AI Intimate Images,Amendment to the Delaware Code Relating to Deepfakes,HB 353,7-Aug-24,Sets out civil and criminal remedies for wrongful disclosure of deepfakes that depict individuals in the nude or engaging in sexual conduct so long as the depicted person is identifiable and did not consent to the disclosure.,Existing criminal penalties under the Unauthorized Disclosure of Intimate Images statute apply.,Active,https://legis.delaware.gov/BillDetail/141103,https://legis.delaware.gov/BillDetail/141103
Delaware,Automated Decision-Making,Delaware Personal Data Privacy Act,"Del. Code tit. 6, § 12D-101 et seq.",1-Jan-25,"Provides consumers the right to opt-out of any form of automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health, demographic characteristics, personal preferences, interests, reliability, behavior, location, or movements in furtherance of solely-automated decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, health–care services, or access to essential goods and services). Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.",Up to $10,Active,https://delcode.delaware.gov/title6/c012d/index.html,https://delcode.delaware.gov/title6/c012d/index.html
Florida,AI in Political Advertising,Florida Act Relating to AI Use in Political Advertising,HB 919,1-Jul-24,Requires political advertisements and electioneering communications containing AI-generated deepfakes intended to influence an election to include a disclaimer indicating the content was created in whole or in part with the use of generative AI.,Misdemeanor of the First Degree.,Active,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:FL2024000H919&verid=FL2024000H919_20240426_0_CH&,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:FL2024000H919&verid=FL2024000H919_20240426_0_CH&
