State/Terr,AI Scope,Relevant Law,Bill ID,Effective Date,Key Requirements,Enforcements Penalties,Status,Source URL,Law Link URL
New Hampshire,User-Facing AI,Responsive Generative Communication Law,New Hampshire Chapter 270:1,1-Jan-26,"Prohibits an owner or operator of a computer online service, Internet service, or bulletin board service, including a provider of an AI chat program, whose sole purpose is to provide responsive open-ended generative communication through the use of AI to knowingly direct a communication to a child that has the intent to facilitate, encourage, offer, solicit, or recommend that the child imminently engage in sexually explicit conduct (or the visual depiction of such conduct), the illegal use of drugs / alcohol, acts of self-harm or suicide, or any crime of violence against another person.","An owner or operator of such service shall be liable to a child, or the parent or next friend of the child, for damages proximately caused by a violation of the law, but in no instance liable for an amount less than liquidated damages in the amount of $1,000 per violation. The AG's Office may also bring an action for violations.",Active,https://gc.nh.gov/bill_status/pdf.aspx?id=17004&q=billVersion,https://gc.nh.gov/bill_status/pdf.aspx?id=17004&q=billVersion
New Jersey,Automated Decision-Making,New Jersey Data Privacy Act,N.J. Rev. Stat. § 56:8-166.4 et. seq.,15-Jan-25,"Provides consumers the right to opt-out of any form of automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, health care services, or access to essential goods or services). Requires a data protection assessment for certain profiling activities. Other obligations and restrictions may apply depending on the type of data processed.","Up to $10,000 for the first violation and up to $20,000 for each subsequent violation.",Active,https://pub.njleg.state.nj.us/Bills/2022/PL23/266_.PDF,https://pub.njleg.state.nj.us/Bills/2022/PL23/266_.PDF
New Jersey,AI Deepfakes,Establishes criminal penalties for production or dissemination of deepfakes.,A3540,2-Apr-25,"Makes it unlawful to create, use or disclose a work of deceptive audio or visual media for the purpose of attempting or furthering the commission of any crime or offense, or with the knowledge that the work is to be used by another for such purpose. Makes it unlawful for a person to knowingly or recklessly disclose such a work created in violation of the law.","Chargeable with a crime of up to the third degree. Up to $30,000 criminal fine per violation. Establishes a civil cause of action for the victim to recover actual damages or not less than $1,000 for each ""knowing or reckless"" violation.",Active,https://pub.njleg.state.nj.us/Bills/2024/A4000/3540_R3.PDF,https://pub.njleg.state.nj.us/Bills/2024/A4000/3540_R3.PDF
New Jersey,AI in Employment,Rules Pertaining to Disparate Impact Discrimination (N.J.A.C. 13:16),N.J.A.C. 13:16,15-Dec-25,"Rules (i) clarify the application of existing antidiscrimination laws in several contexts, including for any software, system, process (including AI) that aims to automate, aid, or replace human decision-making relevant to employment (""Automated Employment Decision Tools""), and (ii) provide examples of how the use of automated employment decision tools may have a disparate impact on applicants and employees.",Existing enforcement mechanisms.,Active,https://www.njoag.gov/wp-content/uploads/2025/12/N.J.A.C.-13-16-Disparate-Impact-Discrimination.pdf,https://www.njoag.gov/wp-content/uploads/2025/12/N.J.A.C.-13-16-Disparate-Impact-Discrimination.pdf
New Mexico,AI in Political Advertising,New Mexico Campaign Reporting Act Amendment,N.M. Stat. Ann. § 1-19-26 et seq.,15-May-24,Requires any person creating or producing or purchasing a political advertisement containing AI-generated deepfakes to provide a clear and conspicuous disclaimer that the media has been manipulated or generated by artificial intelligence.,"Up to $1,000 per violation not to exceed a total of $20,000. Misdemeanor for first conviction. Fourth Degree Felony for second conviction.",Active,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=182&year=24,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=182&year=24
New York,AI in Employment,NYC AI Employment Law (Local Law 144),(Local Law 144),1-Jan-23,"Prohibits employers and employment agencies from using an automated employment decision tool to screen a candidate or employee for an employment decision unless the tool has been subject to a recent bias audit and a summary of the audit is made publicly available on the website of the employer / agency. Requires employers / agencies using automated employment decision tools to notify each candidate that such a tool will be used and provide information about the qualifications and characteristics the tool will use in the assessment, the type of data collected by the tool for the assessment, and the employer's data retention policy. Requires employers / agencies using automated employment decision tools to allow a candidate to request an alternative selection process or accommodation.","Up to $500 per violation on the first day of violations. Up to $1,500 per subsequent violation.",Active,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=4344524&GUID=B051915D-A9AC-451E-81F8-6596032FA3F9&Options=ID%7cText%7c&Search=,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=4344524&GUID=B051915D-A9AC-451E-81F8-6596032FA3F9&Options=ID%7cText%7c&Search=
New York,AI Intimate Images,Amendment to the New York Statute Prohibiting Unlawful Dissemination or Publication of Intimate Images,SB1042A,28-Nov-23,"Expands the definition of unlawful dissemination or publication of an intimate image to include ""deep fake"" images created by digitization.",Existing penalties apply.,Active,https://www.nysenate.gov/legislation/bills/2023/S1042/amendment/A,https://www.nysenate.gov/legislation/bills/2023/S1042/amendment/A
New York,AI in Political Advertising,Artificial Intelligence Deceptive Practices Act,N.Y. Election Law § 14-106,20-Apr-24,Requires any person that distributes or publishes any political communication that was produced by or includes materially deceptive media (including AI deepfakes) and has actual knowledge that it is materially deceptive to provide proper disclosure.,Injunctive relief.,Active,https://www.nysenate.gov/legislation/laws/ELN/14-106,https://www.nysenate.gov/legislation/laws/ELN/14-106
New York,AI Likeness,Artificial Intelligence Deceptive Practices Act,N.Y. Civ. Rights Law § 50 et seq.,20-Apr-24,"Extends New York's Right of Privacy protecting an individual's picture, likeness, or voice to also cover AI generated uses of the individual's picture, likeness or voice.",Varies based on violation.,Active,https://www.nysenate.gov/legislation/laws/CVR/50,https://www.nysenate.gov/legislation/laws/CVR/50
New York,AI in Government,The LOADinG Act: Legislative Oversight Of Automated Decision-Making in Government Act,S 7543B,21-Dec-24,"Imposes several requirements on state agency use of AI and automated decision-making tools, including: Requires state agencies to publish an online list of the automated decision-making tools they use. Requires state agencies to conduct, submit and publish an impact assessment for the lawful application and use of automated decision-making tools. Requires state agencies and any entity acting on their behalf to operationalize meaningful human review of automated decision-making tools that are used to (i) allocate public assistance benefits, or (ii) which may otherwise impact an individual's rights, safety, or welfare. Such tools must also be subject to an initial impact assessment to be repeated at least every two years. Prohibits state agencies from using automated decision-making systems to make internal employment decisions if they may result in discharge, displacement, loss of position, or impairment of collective bargaining agreements.",N/A,Active,https://www.nysenate.gov/legislation/bills/2023/S7543/amendment/B,https://www.nysenate.gov/legislation/bills/2023/S7543/amendment/B
New York,AI Likeness,Contracts for the Creation and Use of Digital Replicas,"General Obligations CHAPTER 24-A, ARTICLE 5, TITLE 3",1-Jan-25,Makes any provision in an agreement for the performance of personal or professional services unenforceable where: The provision allows for the creation and use of a digital replica of the individual's voice or likeness in place of work the individual would otherwise have performed in person; The provision does not include a reasonably specific description of the intended uses of the digital replica; and The individual was not represented (i) by legal counsel or (ii) by a labor union.,Unenforceability of a violating contractual provision.,Active,https://www.nysenate.gov/legislation/laws/GOB/5-302,https://www.nysenate.gov/legislation/laws/GOB/5-302
New York,AI Likeness,New York State Fashion Workers Act,S 9832,19-Jun-25,"Requires model management companies and those who receive modeling services to obtain clear written consent, separately from any representation agreement, for the creation or use of a model's digital replica, detailing the scope, purpose, rate of pay, and duration of such use.","Up to $3,000 for the first violation; up to $5,000 for subsequent violations.",Active,https://legislation.nysenate.gov/pdf/bills/2023/S9832,https://legislation.nysenate.gov/pdf/bills/2023/S9832
New York,AI in Government,Automated Employment Decision-Making in State Government,A433,1-Jul-25,Any state agency that utilizes an automated employment decision-making tool shall publish a list of such automated employment decision-making tools on such state agency's website. The state agency shall maintain an inventory of state agency artificial intelligence systems.,None specified.,Active,https://www.nysenate.gov/legislation/laws/STT/-CH57-A,https://www.nysenate.gov/legislation/laws/STT/-CH57-A
New York,User-Facing AI,Artificial Intelligence Companion Models,New York General Business Law Article 47,5-Nov-25,"Prohibits any operator from providing an AI companion unless that AI companion contains a protocol to take reasonable efforts for detecting and addressing suicidal ideation or self-harm expressed by a user to the AI companion, including a notification to the user that refers them to crisis service providers. Operators must clearly and conspicuously display a notification at the beginning of any AI companion interaction, which need not exceed once per day and at least every three hours for continuing interactions, which states verbally or in writing that the user is not communicating with a human.",Up to $15,Active,https://www.nysenate.gov/legislation/laws/GBS/A47,https://www.nysenate.gov/legislation/laws/GBS/A47
New York,Algorithmic Pricing,New York Algorithmic Pricing Disclosure Act,"New York General Business Law Article 22-A, § 349-A",10-Nov-25,"Requires any entity that sets the price of goods or services using personalized algorithmic pricing and that advertises, promotes, labels or publishes a statement, display, image, offer or announcement of personalized algorithmic pricing to a consumer in New York, using personal data specific to the consumer, to include a clear and conspicuous disclosure that states: ""THIS PRICE WAS SET BY AN ALGORITHM USING YOUR PERSONAL DATA.""","Up to $1,000 per violation (after a preliminary cease-and-desist notice).",Active,https://www.cga.ct.gov/current/pub/chap_244c.htm,https://www.cga.ct.gov/current/pub/chap_244c.htm
New York,AI Likeness,Amendment to Deceased Personality Protections,S8391,11-Dec-25,"Makes it unlawful for a person to use a deceased performer's digital replica in an audiovisual work, sound recording, or live performance of a musical work without appropriate consent. A ""digital replica"" is defined as a newly created, computer-generated, highly realistic electronic representation that is readily identifiable as the voice or visual likeness of an individual that is embodied in a sound recording, image, audiovisual work, including an audiovisual work that does not have any accompanying sounds, or transmission in which: (I) the actual individual did not actually perform or appear; or (II) the actual individual did perform or appear, but the fundamental character of the performance or appearance has been materially altered. A ""digital replica"" does not include the electronic reproduction, use of a sample of one sound recording or audiovisual work into another, remixing, mastering, or digital remastering of a sound recording or audiovisual work authorized by the copyright holder.","Greater of $2,000 or the compensatory damages suffered by the injured party and any profits from the unauthorized use that are attributable to such use and are not taken into account in computing the compensatory damages.",Active,https://www.nysenate.gov/legislation/bills/2025/S8391,https://www.nysenate.gov/legislation/bills/2025/S8391
New York,Algorithmic Pricing,New York Landlord Algorithmic Pricing Law,"New York General Business Law Article 22, § 340-B",15-Dec-25,"Makes it unlawful for a person or entity to knowingly or with reckless disregard facilitate an agreement between or among two or more residential rental property owners or managers to not compete with respect to residential rental dwelling units, including by operating or licensing a software, data analytics service, or algorithmic device that performs a coordinating function on behalf of or between and among such residential rental property owners or managers.","Class E Felony For a corporation, a fine not exceeding $1 million. For an individual, a fine not exceeding $100,000 or imprisonment for not longer than four years (or both).",Active,https://www.nysenate.gov/legislation/laws/GBS/340-B,https://www.nysenate.gov/legislation/laws/GBS/340-B
New York,AI in Government,Government-Related AI Employment Protections,S8831,13-Feb-26,"Amends the current state education, state technology, and state civil service laws to protect employees from artificial intelligence systems affecting their rights under collective bargaining agreements, causing job loss, transferring duties, or reducing work hours or benefits.",None Specified,Active,https://media.orrick.com/Media%20Library/public/files/insights/2026/ny-s8831.pdf,https://media.orrick.com/Media%20Library/public/files/insights/2026/ny-s8831.pdf
New York,AI Transparency,Synthetic Performer Disclosures,S8420A,9-Jun-26,"Requires any person who for any commercial purpose produces or creates an advertisement respecting any property or service in which they deal to conspicuously disclose when a ""synthetic performer"" is used in an advertisement. Defines ""synthetic performer"" to mean ""a digitally created asset created, reproduced, or modified by computer, using generative artificial intelligence or a software algorithm, that is intended to create the impression that the asset is engaging in an audiovisual and/or visual performance of a human performer who is not recognizable as any identifiable natural person.""","$1,000 for a first violation and $5,000 for any subsequent violation.",Active,https://www.nysenate.gov/legislation/bills/2025/S8420/amendment/A,https://www.nysenate.gov/legislation/bills/2025/S8420/amendment/A
New York,Frontier or General-Purpose AI,The Responsible AI Safety and Education (RAISE) Act,"New York General Business Law, Article 44-B",1-Jan-27,"Requires developers who have trained, or initiated the training of, a frontier model and, individually or together with its affiliates, had annual gross revenues in excess of $500 million in the preceding calendar year (i.e., ""large frontier developers"") to comply with obligations imposed on frontier models that are developed, deployed, or operated in whole or in part in New York, including: Writing, implementing, complying with and publishing a frontier AI framework detailing how the large frontier developer handles certain risk-related and other expectations. Publishing a transparency report providing information about the developer and the model. Filing a disclosure statement with the department of financial services. Retaining an unredacted copy of any of the documents above when the published version is redacted for permitted reasons. Transmitting to the department of financial services a summary of any assessment of catastrophic risk resulting from internal use of a frontier model. Reporting any critical safety incident pertaining to its frontier model to the department of financial services within 72 hours of learning of the incident or of facts sufficient to establish a reasonable belief that a critical safety incident has occurred (within 24 hours to an authority if the incident poses an imminent risk of death or serious physical injury). Refraining from making a materially false or misleading statements about catastrophic risk from its frontier models, its management of catastrophic risk, or its frontier AI framework. ""Frontier model"" is defined to mean an AI model that (a) is trained on a broad data set, designed for generality of output, and adaptable to a wide range of distinctive tasks (i.e., a ""foundational model""), and (b) was trained using a quantity of computing power greater than 10^26 integer or floating-point operations.",Up to $1million for a first violation and $3 million for subsequent violations.,Active,https://legislation.nysenate.gov/pdf/bills/2025/a9449,https://legislation.nysenate.gov/pdf/bills/2025/a9449
North Carolina,AI CSAM,Amendment of North Carolina CSAM Laws,HB 591,1-Dec-24,"Expands the scope of existing child pornography statutes to include digital or computer-generated visual depictions or representations created, adapted, or modified by technological means, such as algorithms or artificial intelligence.",Existing criminal penalties apply.,Active,https://www.ncleg.gov/BillLookup/2023/H591,https://www.ncleg.gov/BillLookup/2023/H591
North Carolina,AI Intimate Images,North Carolina Intimate Images Laws,HB 591,1-Dec-24,"Makes it unlawful to intentionally threaten to disclose a sexual private image (including an AI generated image), or to decline to delete, remove, or retract a previously disclosed sexual private image, of an individual in order to compel or attempt to compel the person to act in order to obtain something of value or additional private images (i.e., sexual extortion). Extends prohibitions on the distribution of intimate images to include distribution of AI generated intimate images.",Various criminal charges.,Active,https://www.ncleg.gov/BillLookup/2023/H591,https://www.ncleg.gov/BillLookup/2023/H591
North Dakota,AI in Government,North Dakota Unmanned Aerial Vehicle and Robot Law,North Dakota Century Code 29-29.4-01 to 06,1-Aug-25,"Extends restrictions on the use of information obtained from an unmanned aerial vehicle as evidence in a an affidavit of probable cause or prosecution to also include information gathered by a ""robot"" – which means a powered artificial machine or system that upon activation will operate in whole or in part autonomously to perform physical tasks or decision-making without real-time human control. Restricts law enforcement from authorizing the use of a robot or unmanned aerial vehicle to deploy a weapon or use force.",N/A,Active,https://ndlegis.gov/assembly/69-2025/regular/documents/25-1307-04000.pdf,https://ndlegis.gov/assembly/69-2025/regular/documents/25-1307-04000.pdf
North Dakota,AI Robots,North Dakota Harassment Law,North Dakota Century Code Section 12.1-17-07,1-Aug-25,"Makes it a crime to use a ""robot"" to engage in offensive conduct with no legitimate purpose. ""Robot"" means an artificial object or system that senses, processes, and acts using technology, including the associated elements, communication links, and artificial intelligence (includes remotely piloted aircraft).",Misdemeanor.,Active,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0908-04000.pdf,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0908-04000.pdf
North Dakota,AI Robots,North Dakota Stalking Law,North Dakota Century Code Section 12.1-17-07.1,1-Aug-25,"Extends traditional stalking crimes to similar activity carried out by a ""robot"" (e.g., unauthorized tracking of a person's movements / location or other course of conduct that frightens, intimidates, or harasses a person and serves no legitimate purpose). ""Robot"" means an artificial object or system that senses, processes, and acts using technology, including the associated elements, communication links, and artificial intelligence (includes remotely piloted aircraft).",Misdemeanor or felony.,Active,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0908-04000.pdf,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0908-04000.pdf
North Dakota,AI in Political Advertising,AI Political Advertising Disclaimer Law,"ND Century Code, Chapter 16.1-10",1-Aug-25,"Requires the following disclaimer: ""THIS CONTENT GENERATED BY ARTIFICIAL INTELLIGENCE"" when taking any action for a political purpose, including communication and political advertising in support of or opposition to a candidate, political committee, or a political party, or for the purpose of promoting passage or defeat of initiated or referred measures or petitions containing images, graphics, videos, audio, text, or other digital content created in whole or in part with the use of AI to visually or audibly impersonate a human.",N/A,Active,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0529-05000.pdf,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0529-05000.pdf
North Dakota,AI CSAM,AI CSAM Amendments,North Dakota Century Code Section 12.1-27.2-01 and 12.1-27.2-04.1,1-Aug-25,"Amends North Dakota's CSAM laws to apply to computer-generated images that include sexual conduct by a minor and revised the definition of a ""minor"" under the law to include ""a computer-generated image, used, created, adapted, altered, or modified to appear to depict an individual under eighteen years of age by face, likeness, or other distinguishing characteristics.""",Class B or C Felony,Active,https://ndlegis.gov/assembly/69-2025/regular/documents/25-1064-05000.pdf,https://ndlegis.gov/assembly/69-2025/regular/documents/25-1064-05000.pdf
North Dakota,AI Intimate Images,An Act Relating to Sexually Expressive Images,N.D. Cent. Code § 12.1-27.1-01,1-Aug-25,"Amends North Dakota's non-consensual ""sexually expressive images"" law to include ""real, altered, or computer-generated photographs or visual representations,"" as well as to add a private right of action.","Class A or B misdemeanor punishable by up to 1 year in jail and/or $3,000. Victims may also sue for damages up to $10,000 per defendant, plus attorney's fees, profits, and injunctive relief.",Active,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0034-05000.pdf,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0034-05000.pdf
Oklahoma,AI CSAM,Amendment to Oklahoma CSAM Laws,HB 3642,1-Nov-24,"Extends the CSAM statute to encompass any depiction of a child that has been adapted, altered or modified so that the child depicted appears to be engaged in any act of sexually explicit conduct; or any visual depiction that appears to be a child, regardless of whether the image is a depiction of an actual child, a computer-generated image, or an image altered to appear to be a child, engaged in any act of sexually explicit conduct, and such visual depiction is obscene.",Existing criminal penalties apply.,Active,https://www.oklegislature.gov/BillInfo.aspx?Bill=hb3642&Session=2400,https://www.oklegislature.gov/BillInfo.aspx?Bill=hb3642&Session=2400
Oklahoma,AI Intimate Images,Amendment of Oklahoma Law Governing Distribution of Intimate Images,Section 1040.13b,1-Nov-25,"Extends prohibitions on the nonconsensual dissemination of private sexual images to include artificially generated sexual depictions of another person disseminated without the depicted person's consent and with the intent (or reckless disregard) to harass, annoy, threaten, alarm, or cause physical, emotional, reputational, or economic harm to the depicted person.",Misdemeanor charge and up to $1,Active,https://www.oklegislature.gov/cf_pdf/2025-26%20ENR/hB/HB1364%20ENR.PDF,https://www.oklegislature.gov/cf_pdf/2025-26%20ENR/hB/HB1364%20ENR.PDF
Oregon,AI in Political Advertising,Use of AI in Campaign Communications Law,SB 1571,27-Mar-24,"Requires any political campaign communication that includes any form of synthetic media (such as an image, audio recording or video recording of an individual that has been intentionally manipulated with the use of AI to create realistic but false content) to include a disclosure stating that the image, audio recording or video recording has been manipulated.",Enjoinment and a civil penalty of not more than $10,Active,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/SB1571,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/SB1571
Oregon,Automated Decision-Making,Oregon Consumer Privacy Act,SB 619,1-Jul-24,"Provides consumers the right to opt-out of any form of automated processing of personal data for the purpose of evaluating, analyzing, or predicting an identified or identifiable consumer's economic circumstances, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal effects or effects of similar significance (i.e., the provision or denial of financial or lending services, housing, insurance, enrollment in education or educational opportunity, criminal justice, employment opportunities, health care services, or access to essential goods and services). Imposes additional processing restrictions for such automated processing of children's personal data (under the age of 16). Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.",Up to $7,Active,https://olis.oregonlegislature.gov/liz/2023R1/Downloads/MeasureDocument/SB619/Enrolled,https://olis.oregonlegislature.gov/liz/2023R1/Downloads/MeasureDocument/SB619/Enrolled
Pennsylvania,AI CSAM,Amendment of Pennsylvania CSAM Laws,SB 1213,28-Dec-24,"Expands the scope of existing child pornography statutes to include artificially generated child sexual abuse material. Updates the term ""child pornography"" to ""child sexual abuse material.""",Existing criminal penalties apply.,Active,https://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=1213&pn=1946,https://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=1213&pn=1946
Pennsylvania,AI Intimate Images,Amendment of Pennsylvania Intimate Images Laws,SB 1213,28-Dec-24,Extends prohibition on the distribution of intimate images to include distribution of AI generated intimate images.,Existing criminal penalties apply.,Active,https://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=1213&pn=1946,https://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=1213&pn=1946
Rhode Island,AI in Political Advertising,Deceptive and Fraudulent Synthetic Media in Election Communications,"General Laws, Title 17-30-1 to 4",2-Jul-25,Prohibits certain persons from distributing synthetic media that the person knows or should know is deceptive and fraudulent deepfake of a candidate for elected office within 90 days of an election unless the synthetic media message includes a clear and conspicuous disclosure stating that the media has been manipulated or generated by AI.,Provides possible injunctive or other equitable relief from injuries.,Active,https://infobytes.orrick.com/wp-content/uploads/S0816A.pdf,https://infobytes.orrick.com/wp-content/uploads/S0816A.pdf
Rhode Island,Automated Decision-Making,Rhode Island Data Transparency and Privacy Protection Act,R.I. Gen. Law § 6-48.1-1 et seq.,1-Jan-26,"Provides consumers the right to opt-out of any form of solely automated processing performed on personal information to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of solely automated decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, healthcare services, or access to essential goods or services). Requires a data protection assessment of each processing activity involving such automated processing of personal data in certain circumstances. Other obligations and restrictions may apply depending on the type of data processed.",Up to $10,Active,https://legiscan.com/RI/text/S2500/2024,https://legiscan.com/RI/text/S2500/2024
South Carolina,AI in Real Estate,Real Estate AI Responsibility Law,S.C. Code Ann. § 40-57-820,21-May-24,"Makes licensed real estate professionals responsible for any and all work product produced with the assistance of artificial intelligence, machine learning, or similar programs.",Various disciplinary actions and penalties.,Active,https://www.scstatehouse.gov/code/t40c057.php,https://www.scstatehouse.gov/code/t40c057.php
South Dakota,AI CSAM,Amendment of South Dakota CSAM Laws,SB 79,12-Feb-24,Expands the scope of existing child pornography statutes to include matter that is digitally altered or generated by the use of AI.,Existing criminal penalties apply.,Active,https://sdlegislature.gov/Session/Bill/24991,https://sdlegislature.gov/Session/Bill/24991
South Dakota,AI in Political Advertising,An Act to Prohibit the Use of a Deepfake to Influence an Election,SB164,1-Jul-25,"Prohibits the distribution of AI-generated deepfakes with the intent to injure a candidate within 90 days of an election. Provides a safe harbor from liability where the deepfake includes a disclosure stating ""This (image/video/audio) has been manipulated or generated by artificial intelligence."" The disclosure must also meet certain formatting / delivery requirements.","Class 1 Misdemeanor. Injunctive or other equitable relief. Damages, reasonable costs and attorney fees, and any other relief the court deems proper in a suit by the candidate or other individual depicted.",Active,https://mylrc.sdlegislature.gov/api/Documents/284327.pdf,https://mylrc.sdlegislature.gov/api/Documents/284327.pdf
Tennessee,AI Likeness,"Ensuring Likeness, Voice, and Image Security (ELVIS) Act of 2024","Tennessee Code Annotated, Section 47-25-1101",1-Jul-24,"Provides that every individual has a property right in the use of their name, photograph, voice, or likeness in any medium and in any manner. Establishes a civil cause of action if a person knowingly uses or infringes upon the use of an individual's name, photograph, voice, or likeness in any medium, in any manner, for purposes of advertising, fundraising, or merchandising without consent. Establishes a civil cause of action if a person publishes, performs, distributes, transmits, or otherwise makes available to the public an individual's voice or likeness with knowledge that the individual has not provided authorization for such use. Establishes a civil cause of action if a person distributes, transmits, or otherwise makes available an algorithm, software, tool, or other technology, service, or device, the primary purpose or function of which is the production of an individual's photograph, voice, or likeness without authorization.",Private right of action.,Active,https://www.capitol.tn.gov/Bills/113/Bill/HB2091.pdf,https://www.capitol.tn.gov/Bills/113/Bill/HB2091.pdf
Tennessee,AI CSAM,Amendment of Tennessee CSAM Laws,HB 2163,1-Jul-24,Expands the scope of existing child pornography statutes to include matter that is digitally altered or generated by the use of AI.,Existing criminal penalties apply.,Active,https://www.capitol.tn.gov/Bills/113/Bill/HB2163.pdf,https://www.capitol.tn.gov/Bills/113/Bill/HB2163.pdf
Tennessee,Automated Decision-Making,Tennessee Information Protection Act,Tenn. Code. Ann. § 47-18-3301,1-Jul-25,"Provides consumers the right to opt-out of any form of solely automated processing performed on personal information to evaluate, analyze, or predict personal aspects related to an identified or identifiable natural person's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, healthcare services, or access to basic necessities, like food and water). Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.",Up to $7,Active,https://advance.lexis.com/api/document/collection/statutes-legislation/id/68FT-J0C0-R03K-04F9-00008-00?cite=Tenn.%20Code%20Ann.%20%C2%A7%2047-18-3301&context=1000516,https://advance.lexis.com/api/document/collection/statutes-legislation/id/68FT-J0C0-R03K-04F9-00008-00?cite=Tenn.%20Code%20Ann.%20%C2%A7%2047-18-3301&context=1000516
Texas,AI CSAM,Amendment of Texas CSAM Laws,HB 2700,1-Sep-23,Expands the scope of existing child pornography statutes to include matter that is digitally altered or generated by the use of AI.,Existing criminal penalties apply.,Active,https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=88R&Bill=HB2700,https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=88R&Bill=HB2700
Texas,AI Intimate Images,Unlawful Distribution of Sexually Explicit Videos,SB 1361,1-Sep-23,Makes it a criminal offense to distribute deepfakes depicting a person with intimate parts exposed or engaged in sexual conduct without that person's consent.,Class A misdemeanor.,Active,https://legiscan.com/TX/bill/SB1361/2023,https://legiscan.com/TX/bill/SB1361/2023
Texas,Automated Decision-Making,Texas Data Privacy and Security Act,Tex. Bus & Com. Code § 541.051(b)(5)(C),1-Jul-24,"Provides consumers the right to opt-out of any form of solely automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable natural person's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial and lending services, housing, insurance or health care services, education enrollment, employment opportunities, criminal justice, or access to basic necessities like food and water). Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.",Up to $7,Active,https://statutes.capitol.texas.gov/Docs/BC/pdf/BC.541.pdf,https://statutes.capitol.texas.gov/Docs/BC/pdf/BC.541.pdf
Texas,AI in Government,Act Relating to the Regulation and Use of AI by Governmental Entities,"Chapter 2054, Government Code, Subchapter S",1-Sep-25,"Requires Texas state agencies to inventory their AI systems and conduct a review of the deployment and use of heightened scrutiny AI systems. Requires the creation for the state-wide establishment of an AI system code of ethics for use by state agencies and local governments that procure, develop, deploy, or use AI systems, which shall be adopted by the state agencies and local governments. Requires the development of minimum risk management and governance standards for the development, procurement, deployment, and use of heightened scrutiny AI systems by a state agency or local government. Requires state agencies to conduct assessments when deploying or using a heightened scrutiny AI system. Requires state agencies to clearly disclose to an individual interacting with a public-facing AI system that they are interacting with an AI system, unless a reasonable person would know they are interacting with an AI system. Requires state agencies to provide certain standardized notices of AI systems use that is public-facing or that is a controlling factor in a consequential decision.",The attorney general can enjoin a violation of the law and/or void a contract with a vendor causing such a violation.,Active,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01964F.pdf,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01964F.pdf
