map_id,law_id,req_type_id,actor_id,is_mandatory,compliance_notes
719,130,3,1,true,
720,130,4,2,true,
721,130,5,2,true,
722,130,6,2,true,
723,130,7,1,true,
724,130,8,1,true,
725,130,8,2,true,
726,135,1,1,true,
727,135,2,1,true,
728,135,3,1,true,
729,135,4,1,true,
730,135,5,1,true,
731,135,6,1,true,
732,135,6,2,true,
733,136,1,2,true,
734,136,2,2,true,
735,136,3,2,true,
736,136,4,2,true,
737,136,5,2,true,
738,136,6,2,true,
739,136,7,2,true,
740,137,1,1,true,
741,137,1,2,true,
742,138,1,1,true,
743,138,2,1,true,
744,138,3,1,true,
745,138,3,2,true,
746,138,4,1,true,
747,138,5,2,true,
748,138,6,1,true,
749,138,7,1,true,
750,138,7,2,true,
751,139,1,2,true,
752,139,2,2,true,
753,139,3,2,true,
754,149,1,2,true,
755,149,2,2,true,
756,149,3,2,true,
757,149,4,2,true,
758,162,1,2,true,
759,162,2,2,true,
760,162,3,2,true,
761,162,4,2,true,
762,162,5,2,true,
763,162,6,2,true,
764,164,1,2,true,
765,165,1,2,true,
766,166,1,1,true,
767,166,1,2,true,
768,166,2,1,true,
769,166,2,2,true,
770,166,3,1,true,
771,166,4,2,true,
772,166,5,1,true,
773,166,5,2,true,
774,166,6,1,true,
775,166,6,2,true,
776,166,7,1,true,
777,166,8,1,true,
778,166,8,2,true,
779,167,1,1,true,
780,167,2,1,true,
781,167,3,1,true,
782,167,3,2,true,
783,167,4,1,true,
784,167,4,2,true,
785,167,5,1,true,
786,167,5,2,true,
787,167,6,2,true,
788,167,7,1,true,
789,167,7,2,true,
790,178,1,1,true,
791,178,2,1,true,
792,178,3,1,true,
793,178,4,1,true,
794,178,5,1,true,
795,178,6,1,true,
796,185,1,1,true,
797,185,1,2,true,
798,185,2,1,true,
799,185,2,2,true,
800,185,3,1,true,
801,185,3,2,true,
802,185,4,2,true,
803,185,5,1,true,
804,185,5,2,true,
805,185,5,3,true,
806,186,1,1,true,
807,186,2,1,true,
808,186,3,1,true,
